where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what is the largest city in states that border state0 ? ||| select city.city_name from city where city.state_name in ( select border_info.state_name from border_info where border_info.border = ' state0 ' ) and city.population = ( select max ( city.population ) from city where city.state_name in ( select border_info.state_name from border_info where border_info.border = ' state0 ' ) ) ;

what is the state with the largest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

in which state does the highest point in usa exist ? ||| select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what is the largest state capital in population ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;

how many major cities are in state0 ? ||| select count ( city.city_name ) from city where city.state_name = ' state0 ' and city.population > number0 ;

what is the shortest river in the united states ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;

how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what is the largest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

how high is the highest point of state0 ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ;

which state has the most people ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;

how long is the shortest river in the usa ? ||| select river.length from river where river.length = ( select min ( river.length ) from river ) ;

name the longest river in us . ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

how many rivers are in state0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' ;

what is the lowest point in state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;

what states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

how many citizens in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

in what state is mountain0 ? ||| select mountain.state_name from mountain where mountain.mountain_name = ' mountain0 ' ;

give me the cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' ;

how many states does state0 border ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' state0 ' ;

where is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

what is the population of the largest state that borders state0 ? ||| select state.population from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

what states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

name the states which have no surrounding states . ||| select state.state_name from state where state.state_name not in ( select border_info.state_name from border_info ) ;

what are major rivers in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length > number0 ;

what is the smallest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select min ( city.population ) from city where city.state_name = ' state0 ' ) ;

what is the area of state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

how many states border at least one other state ? ||| select count ( distinct border_info.state_name ) from border_info ;

what are the rivers in the state of state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what is the area of the states ? ||| select state.area from state ;

what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

how many states have a city called city0 ? ||| select count ( city.state_name ) from city where city.city_name = ' city0 ' ;

what state is city0 located in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what state has the largest population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;

which state is the city city0 located in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

how many cities are there in the us ? ||| select count ( city.city_name ) from city ;

name all the lakes of us . ||| select lake.lake_name from lake ;

what is the population of the capital of the largest state through which the river0 runs ? ||| select city.population from city where city.city_name = ( select state.capital from state where state.area = ( select max ( state.area ) from state , river where river.traverse = state.state_name and river.river_name = ' river0 ' ) ) ;

what major rivers run through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length > number0 ;

which states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what are the largest cities in the states that border the largest state ? ||| select city.city_name from state , city where state.state_name in ( select border_info.border from state , border_info where state.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) and state.state_name = border_info.state_name ) and state.state_name = city.state_name and city.population = ( select max ( city.population ) from state , city where state.state_name in ( select border_info.border from state , border_info where state.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) and state.state_name = border_info.state_name ) and state.state_name = city.state_name ) ;

what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what is the area of state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

what is the highest point in the state with the capital city0 ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select state.state_name from state where state.capital = ' city0 ' ) ;

what is the longest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;

how many citizens in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

give me the largest state ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

which states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what state is city0 in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

which is the shortest river ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;

name all the rivers in state0 . ||| select river.river_name from river where river.traverse = ' state0 ' ;

how many states are in the united states ? ||| select count ( state.state_name ) from state ;

how many rivers are in the state with the highest point ? ||| select count ( river.river_name ) from river , highlow where river.traverse = highlow.state_name and highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

how many rivers are there in state0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' ;

what is the number of neighboring states for state0 ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' state0 ' ;

how long is river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;

where is state0 ? ||| select state.country_name from state where state.state_name = ' state0 ' ;

what is the area of state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

what is the state with the lowest population ? ||| select state.state_name from state where state.population = ( select min ( state.population ) from state ) ;

how many states in the us does the shortest river run through ? ||| select count ( distinct river.traverse ) from river where river.length = ( select min ( distinct river.length ) from river ) ;

where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

which states does the river0 run through ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

what state has the smallest area ? ||| select state.state_name from state where state.area = ( select min ( state.area ) from state ) ;

what states have cities named city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

how high is the highest point of state0 ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ;

how large is the largest city in state0 ? ||| select city.population from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what is the height of the highest mountain in state0 ? ||| select max ( distinct highlow.highest_elevation ) from highlow where highlow.state_name = ' state0 ' ;

what state has the largest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

what state has the highest population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;

what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

what is the population of city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;

what states border states that the river0 runs through ? ||| select border_info.border from border_info where border_info.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ;

what state is city0 in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what rivers do not run through state0 ? ||| select river.river_name from river where river.river_name not in ( select river.river_name from river where river.traverse = ' state0 ' ) ;

what is the highest point of the state with the largest area ? ||| select highlow.highest_point from highlow , state where highlow.state_name = state.state_name and state.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

what is the capital of state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

how big is state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

how many rivers are in state0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' ;

what is the smallest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select min ( city.population ) from city where city.state_name = ' state0 ' ) ;

what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

which states adjoin state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what are the states ? ||| select state.state_name from state ;

what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what is the longest river flowing through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;

how many rivers are called river0 ? ||| select count ( river.river_name ) from river where river.river_name = ' river0 ' ;

what is the capital of state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

how many cities does the usa have ? ||| select count ( city.city_name ) from city ;

what is the biggest city in the us? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;

what states have towns named city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

how many square kilometers in the us ? ||| select sum ( state.area ) from state ;

how many states have cities or towns named city0 ? ||| select count ( city.state_name ) from city where city.city_name = ' city0 ' ;

what is the area of the state with the capital city0 ? ||| select state.area from state where state.capital = ' city0 ' ;

how many states does the river0 run through ? ||| select count ( river.traverse ) from river where river.river_name = ' river0 ' ;

what is the area of state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

what is the elevation of low_point0 ? ||| select highlow.lowest_elevation from highlow where highlow.lowest_point = ' low_point0 ' ;

what is the population density of the smallest state ? ||| select state.density from state where state.area = ( select min ( state.area ) from state ) ;

what cities in state0 have the highest populations ? ||| select city.city_name from city where city.state_name = ' state0 ' order by city.population ;

what is the area of all the states combined ? ||| select sum ( state.area ) from state ;

how many states border the largest state ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

what is the smallest state that borders state0 ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

what is the capital of state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

how many people live in city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

what is the area of the largest state ? ||| select state.area from state where state.area = ( select max ( state.area ) from state ) ;

through which states does the river0 run ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

what rivers run through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what is the population of city0 state_abrev0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

what rivers flow through states that border the state with the largest population ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name in ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ) ;

how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what is the density of state0 ? ||| select state.density from state where state.state_name = ' state0 ' ;

what is the biggest city in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what are the populations of states through which the river0 runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ;

give me the longest river that passes through the us ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

how many states border state0 ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' state0 ' ;

what is the height of the highest point in the usa ? ||| select max ( highlow.highest_elevation ) from highlow ;

how long is the river0 ? ||| select river.length from river where river.river_name = ' river0 ' ;

can you tell me the capital of state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

what states have a city named city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what rivers flow through states that state0 borders ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ;

what state has highest elevation ? ||| select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

how many rivers in state0 are longer than the river0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' and river.length > all ( select river.length from river where river.river_name = ' river0 ' ) ;

what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

what city has the least population ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city ) ;

which states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what is the capital of the state with the highest point ? ||| select state.capital from state , highlow where state.state_name = highlow.state_name and highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what is the capital city of the largest state in the us ? ||| select state.capital from state where state.area = ( select max ( state.area ) from state ) ;

what states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

how big is state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

