where is san jose ? ||| select city.state_name from city where city.city_name = ' san jose ' ;
what are the populations of states through which the mississippi runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ;

how many states are there in united states ? ||| select count ( state.state_name ) from state ;

what is the population of the capital of the smallest state ? ||| select city.population from city where city.city_name = ( select state.capital from state where state.area = ( select min ( state.area ) from state ) ) ;

what rivers are in new mexico ? ||| select river.river_name from river where river.traverse = ' new mexico ' ;

how many inhabitants does montgomery have ? ||| select city.population from city where city.city_name = ' montgomery ' ;

how big is the city of new york ? ||| select city.population from city where city.city_name = ' new york ' ;

what is the size of florida ? ||| select state.area from state where state.state_name = ' florida ' ;

what is the highest point in each state whose lowest point is sea level ? ||| select highlow.highest_point , highlow.state_name from highlow where highlow.lowest_elevation = 0 ;

where is san diego ? ||| select city.state_name from city where city.city_name = ' san diego ' ;

what state has the city with the most population ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;

what are the major cities in wyoming ? ||| select city.city_name from city where city.state_name = ' wyoming ' and city.population > 150000 ;

what is the shortest river in iowa ? ||| select river.river_name from river where river.traverse = ' iowa ' and river.length = ( select min ( river.length ) from river where river.traverse = ' iowa ' ) ;

how high is guadalupe peak ? ||| select highlow.highest_elevation from highlow where highlow.highest_point = ' guadalupe peak ' ;

what is the river that cross over ohio ? ||| select river.river_name from river where river.traverse = ' ohio ' ;

what is the longest river in the state with the highest point ? ||| select river.river_name from river where river.traverse in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) ) ;

what states border ohio ? ||| select border_info.border from border_info where border_info.state_name = ' ohio ' ;

what river runs through virginia ? ||| select river.river_name from river where river.traverse = ' virginia ' ;

what is the area of new mexico ? ||| select state.area from state where state.state_name = ' new mexico ' ;

what are the major cities in missouri ? ||| select city.city_name from city where city.state_name = ' missouri ' and city.population > 150000 ;

what is the population of portland maine ? ||| select city.population from city where city.city_name = ' portland ' and city.state_name = ' maine ' ;

what is the highest point in the state with the smallest population ? ||| select highlow.highest_point from highlow , state where highlow.state_name = state.state_name and state.state_name in ( select state.state_name from state where state.population = ( select min ( state.population ) from state ) ) ;

what is the name of the state with the lowest point ? ||| select highlow.state_name from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

what is the most populous city in texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;

which states border hawaii ? ||| select border_info.border from border_info where border_info.state_name = ' hawaii ' ;

what is the capital of the alabama state ? ||| select state.capital from state where state.state_name = ' alabama ' ;

how many cities named austin are there in the usa ? ||| select count ( city.city_name ) from city where city.city_name = ' austin ' ;

what state borders the state with the smallest population ? ||| select border_info.border from border_info where border_info.state_name in ( select state.state_name from state where state.population = ( select min ( state.population ) from state ) ) ;

what is the population of the state with the largest area ? ||| select state.population from state where state.area = ( select max ( state.area ) from state ) ;

how many rivers are in colorado ? ||| select count ( river.river_name ) from river where river.traverse = ' colorado ' ;

what is the highest point in the country ? ||| select distinct highlow.highest_point from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

which states border alabama ? ||| select border_info.border from border_info where border_info.state_name = ' alabama ' ;

what are the major cities of the united states ? ||| select city.city_name from city where city.population > 150000 ;

how many people live in riverside ? ||| select city.population from city where city.city_name = ' riverside ' ;

what is the highest point in the state with capital des moines ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select state.state_name from state where state.capital = ' des moines ' ) ;

give me all the states of usa ? ||| select state.state_name from state ;

how many states have cities named austin ? ||| select count ( city.state_name ) from city where city.city_name = ' austin ' ;

what is the population of denver ? ||| select city.population from city where city.city_name = ' denver ' ;

how many people live in hawaii ? ||| select state.population from state where state.state_name = ' hawaii ' ;

what state is the biggest ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

which state has the greatest density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

what is the biggest city in georgia ? ||| select city.city_name from city where city.state_name = ' georgia ' and city.population = ( select max ( city.population ) from city where city.state_name = ' georgia ' ) ;

what are the highest points of states surrounding mississippi ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select border_info.border from border_info where border_info.state_name = ' mississippi ' ) ;

what states border states that border states that border florida ? ||| select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name = ' florida ' ) ) ;

where is baton rouge ? ||| select city.state_name from city where city.city_name = ' baton rouge ' ;

what is the combined population of all 50 states ? ||| select sum ( state.population ) from state ;

what is the highest elevation in new mexico ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' new mexico ' ;

what are the major cities in the smallest state in the us ? ||| select city.city_name from city where city.population > 150000 and city.state_name = ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ;

what states does the colorado river run through ? ||| select river.traverse from river where river.river_name = ' colorado ' ;

what is the highest point in wyoming ? ||| select highlow.highest_point from highlow where highlow.state_name = ' wyoming ' ;

what can you tell me about the population of missouri ? ||| select state.population from state where state.state_name = ' missouri ' ;

what is the capital of utah ? ||| select state.capital from state where state.state_name = ' utah ' ;

how many major cities are in states bordering nebraska ? ||| select count ( city.city_name ) from city where city.state_name in ( select border_info.border from border_info where border_info.state_name = ' nebraska ' ) and city.population > 150000 ;

what are the populations of all the major cities in montana ? ||| select city.population from city where city.state_name = ' montana ' and city.population > 150000 ;

where is mount whitney located ? ||| select mountain.state_name from mountain where mountain.mountain_name = ' whitney ' ;

what is the total population of the states that border texas ? ||| select sum ( state.population ) from state , border_info where state.state_name = border_info.border and border_info.state_name = ' texas ' ;

which states border new york ? ||| select border_info.border from border_info where border_info.state_name = ' new york ' ;

what is the area of the state with the smallest population density ? ||| select state.area from state where state.density = ( select min ( state.density ) from state ) ;

what cities in california ? ||| select city.city_name from city where city.state_name = ' california ' ;

what is the largest city in states that border california ? ||| select city.city_name from city where city.state_name in ( select border_info.state_name from border_info where border_info.border = ' california ' ) and city.population = ( select max ( city.population ) from city where city.state_name in ( select border_info.state_name from border_info where border_info.border = ' california ' ) ) ;

what is the state with the largest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

in which state does the highest point in usa exist ? ||| select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what is the largest state capital in population ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city , state where city.city_name = state.capital ) ;

how many major cities are in florida ? ||| select count ( city.city_name ) from city where city.state_name = ' florida ' and city.population > 150000 ;

what is the shortest river in the united states ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;

how many people live in kansas ? ||| select state.population from state where state.state_name = ' kansas ' ;

what is the largest city in alabama ? ||| select city.city_name from city where city.state_name = ' alabama ' and city.population = ( select max ( city.population ) from city where city.state_name = ' alabama ' ) ;

how high is the highest point of delaware ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' delaware ' ;

which state has the most people ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;

how long is the shortest river in the usa ? ||| select river.length from river where river.length = ( select min ( river.length ) from river ) ;

name the longest river in us . ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

how many rivers are in new york ? ||| select count ( river.river_name ) from river where river.traverse = ' new york ' ;

what is the lowest point in california ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' california ' ;

what states border kentucky ? ||| select border_info.border from border_info where border_info.state_name = ' kentucky ' ;

how many citizens in boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;

in what state is mount mckinley ? ||| select mountain.state_name from mountain where mountain.mountain_name = ' mckinley ' ;

give me the cities in virginia ? ||| select city.city_name from city where city.state_name = ' virginia ' ;

how many states does missouri border ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' missouri ' ;

where is the highest point in montana ? ||| select highlow.highest_point from highlow where highlow.state_name = ' montana ' ;

what is the population of the largest state that borders texas ? ||| select state.population from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) ) ;

what states border texas ? ||| select border_info.border from border_info where border_info.state_name = ' texas ' ;

how many people live in san francisco ? ||| select city.population from city where city.city_name = ' san francisco ' ;

name the states which have no surrounding states . ||| select state.state_name from state where state.state_name not in ( select border_info.state_name from border_info ) ;

what are major rivers in texas ? ||| select river.river_name from river where river.traverse = ' texas ' and river.length > 750 ;

what is the smallest city in arkansas ? ||| select city.city_name from city where city.state_name = ' arkansas ' and city.population = ( select min ( city.population ) from city where city.state_name = ' arkansas ' ) ;

what is the area of maine ? ||| select state.area from state where state.state_name = ' maine ' ;

how many states border at least one other state ? ||| select count ( distinct border_info.state_name ) from border_info ;

what are the rivers in the state of texas ? ||| select river.river_name from river where river.traverse = ' texas ' ;

what is the area of the states ? ||| select state.area from state ;

what is the population of washington dc ? ||| select city.population from city where city.city_name = ' washington dc ' ;

how many states have a city called rochester ? ||| select count ( city.state_name ) from city where city.city_name = ' rochester ' ;

what state is des moines located in ? ||| select city.state_name from city where city.city_name = ' des moines ' ;

what state has the largest population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;

which state is the city denver located in ? ||| select city.state_name from city where city.city_name = ' denver ' ;

what is the population of california ? ||| select state.population from state where state.state_name = ' california ' ;

how many cities are there in the us ? ||| select count ( city.city_name ) from city ;

name all the lakes of us . ||| select lake.lake_name from lake ;

what is the population of the capital of the largest state through which the mississippi runs ? ||| select city.population from city where city.city_name = ( select state.capital from state where state.area = ( select max ( state.area ) from state , river where river.traverse = state.state_name and river.river_name = ' mississippi ' ) ) ;

what major rivers run through illinois ? ||| select river.river_name from river where river.traverse = ' illinois ' and river.length > 750 ;

which states border michigan ? ||| select border_info.border from border_info where border_info.state_name = ' michigan ' ;

what are the largest cities in the states that border the largest state ? ||| select city.city_name from state , city where state.state_name in ( select border_info.border from state , border_info where state.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) and state.state_name = border_info.state_name ) and state.state_name = city.state_name and city.population = ( select max ( city.population ) from state , city where state.state_name in ( select border_info.border from state , border_info where state.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) and state.state_name = border_info.state_name ) and state.state_name = city.state_name ) ;

what is the population of new york ? ||| select state.population from state where state.state_name = ' new york ' ;

what is the area of south carolina ? ||| select state.area from state where state.state_name = ' south carolina ' ;

what is the highest point in the state with the capital des moines ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select state.state_name from state where state.capital = ' des moines ' ) ;

what is the longest river in mississippi ? ||| select river.river_name from river where river.traverse = ' mississippi ' and river.length = ( select max ( river.length ) from river where river.traverse = ' mississippi ' ) ;

how many citizens in alabama ? ||| select state.population from state where state.state_name = ' alabama ' ;

give me the largest state ? ||| select state.state_name from state where state.area = ( select max ( state.area ) from state ) ;

which states border texas ? ||| select border_info.border from border_info where border_info.state_name = ' texas ' ;

what state is pittsburgh in ? ||| select city.state_name from city where city.city_name = ' pittsburgh ' ;

which is the shortest river ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;

name all the rivers in colorado . ||| select river.river_name from river where river.traverse = ' colorado ' ;

how many states are in the united states ? ||| select count ( state.state_name ) from state ;

how many rivers are in the state with the highest point ? ||| select count ( river.river_name ) from river , highlow where river.traverse = highlow.state_name and highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

how many people live in kalamazoo ? ||| select city.population from city where city.city_name = ' kalamazoo ' ;

how many rivers are there in idaho ? ||| select count ( river.river_name ) from river where river.traverse = ' idaho ' ;

what is the number of neighboring states for kentucky ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' kentucky ' ;

how long is rio grande ? ||| select river.length from river where river.river_name = ' rio grande ' ;

where is new hampshire ? ||| select state.country_name from state where state.state_name = ' new hampshire ' ;

what is the area of texas ? ||| select state.area from state where state.state_name = ' texas ' ;

what is the state with the lowest population ? ||| select state.state_name from state where state.population = ( select min ( state.population ) from state ) ;

how many states in the us does the shortest river run through ? ||| select count ( distinct river.traverse ) from river where river.length = ( select min ( distinct river.length ) from river ) ;

where is houston ? ||| select city.state_name from city where city.city_name = ' houston ' ;

which states does the missouri river run through ? ||| select river.traverse from river where river.river_name = ' missouri ' ;

what state has the smallest area ? ||| select state.state_name from state where state.area = ( select min ( state.area ) from state ) ;

what states have cities named austin ? ||| select city.state_name from city where city.city_name = ' austin ' ;

how high is the highest point of florida ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' florida ' ;

how large is the largest city in alaska ? ||| select city.population from city where city.state_name = ' alaska ' and city.population = ( select max ( city.population ) from city where city.state_name = ' alaska ' ) ;

what is the height of the highest mountain in texas ? ||| select max ( distinct highlow.highest_elevation ) from highlow where highlow.state_name = ' texas ' ;

what state has the largest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

what state has the highest population ? ||| select state.state_name from state where state.population = ( select max ( state.population ) from state ) ;

what is the highest point in wyoming ? ||| select highlow.highest_point from highlow where highlow.state_name = ' wyoming ' ;

what is the population of seattle washington ? ||| select city.population from city where city.city_name = ' seattle ' and city.state_name = ' washington ' ;

what states border states that the mississippi runs through ? ||| select border_info.border from border_info where border_info.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ;

what state is dallas in ? ||| select city.state_name from city where city.city_name = ' dallas ' ;

what rivers do not run through tennessee ? ||| select river.river_name from river where river.river_name not in ( select river.river_name from river where river.traverse = ' tennessee ' ) ;

what is the highest point of the state with the largest area ? ||| select highlow.highest_point from highlow , state where highlow.state_name = state.state_name and state.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

what is the capital of vermont ? ||| select state.capital from state where state.state_name = ' vermont ' ;

how big is texas ? ||| select state.area from state where state.state_name = ' texas ' ;

how many rivers are in missouri ? ||| select count ( river.river_name ) from river where river.traverse = ' missouri ' ;

what is the smallest city in washington ? ||| select city.city_name from city where city.state_name = ' washington ' and city.population = ( select min ( city.population ) from city where city.state_name = ' washington ' ) ;

what is the population of austin ? ||| select city.population from city where city.city_name = ' austin ' ;

what is the highest point in kansas ? ||| select highlow.highest_point from highlow where highlow.state_name = ' kansas ' ;

which states adjoin alabama ? ||| select border_info.border from border_info where border_info.state_name = ' alabama ' ;

what states border georgia ? ||| select border_info.border from border_info where border_info.state_name = ' georgia ' ;

what are the states ? ||| select state.state_name from state ;

what are the major cities in delaware ? ||| select city.city_name from city where city.state_name = ' delaware ' and city.population > 150000 ;

what is the biggest city in texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;

what is the longest river flowing through new york ? ||| select river.river_name from river where river.traverse = ' new york ' and river.length = ( select max ( river.length ) from river where river.traverse = ' new york ' ) ;

how many rivers are called colorado ? ||| select count ( river.river_name ) from river where river.river_name = ' colorado ' ;

what is the capital of hawaii ? ||| select state.capital from state where state.state_name = ' hawaii ' ;

how many cities does the usa have ? ||| select count ( city.city_name ) from city ;

what is the biggest city in the us ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;

what states have towns named springfield ? ||| select city.state_name from city where city.city_name = ' springfield ' ;

where is indianapolis ? ||| select city.state_name from city where city.city_name = ' indianapolis ' ;

how many square kilometers in the us ? ||| select sum ( state.area ) from state ;

how many states have cities or towns named springfield ? ||| select count ( city.state_name ) from city where city.city_name = ' springfield ' ;

what is the area of the state with the capital albany ? ||| select state.area from state where state.capital = ' albany ' ;

how many states does the mississippi run through ? ||| select count ( river.traverse ) from river where river.river_name = ' mississippi ' ;

what is the area of alaska ? ||| select state.area from state where state.state_name = ' alaska ' ;

what is the elevation of death valley ? ||| select highlow.lowest_elevation from highlow where highlow.lowest_point = ' death valley ' ;

what is the population density of the smallest state ? ||| select state.density from state where state.area = ( select min ( state.area ) from state ) ;

what cities in texas have the highest populations ? ||| select city.city_name from city where city.state_name = ' texas ' order by city.population ;

what is the area of all the states combined ? ||| select sum ( state.area ) from state ;

how many states border the largest state ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

what is the smallest state that borders texas ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) ) ;

what is the capital of michigan ? ||| select state.capital from state where state.state_name = ' michigan ' ;

how many people live in washington dc ? ||| select city.population from city where city.city_name = ' washington dc ' ;

what is the highest point in rhode island ? ||| select highlow.highest_point from highlow where highlow.state_name = ' rhode island ' ;

what is the area of the largest state ? ||| select state.area from state where state.area = ( select max ( state.area ) from state ) ;

through which states does the mississippi run ? ||| select river.traverse from river where river.river_name = ' mississippi ' ;

what rivers run through west virginia ? ||| select river.river_name from river where river.traverse = ' west virginia ' ;

what is the population of atlanta ga ? ||| select city.population from city where city.city_name = ' atlanta ' ;

what rivers flow through states that border the state with the largest population ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name in ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ) ;

how many people live in california ? ||| select state.population from state where state.state_name = ' california ' ;

where is fort wayne ? ||| select city.state_name from city where city.city_name = ' fort wayne ' ;

what is the density of texas ? ||| select state.density from state where state.state_name = ' texas ' ;

what is the biggest city in texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;

what are the populations of states through which the mississippi river runs ? ||| select state.population from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ;

give me the longest river that passes through the us ? ||| select river.river_name from river where river.length = ( select max ( river.length ) from river ) ;

what is the population of dallas ? ||| select city.population from city where city.city_name = ' dallas ' ;

how many states border tennessee ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' tennessee ' ;

what is the height of the highest point in the usa ? ||| select max ( highlow.highest_elevation ) from highlow ;

how long is the mississippi river ? ||| select river.length from river where river.river_name = ' mississippi ' ;

can you tell me the capital of texas ? ||| select state.capital from state where state.state_name = ' texas ' ;

what states have a city named austin ? ||| select city.state_name from city where city.city_name = ' austin ' ;

what rivers flow through states that alabama borders ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' alabama ' ) ;

what state has highest elevation ? ||| select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

how many rivers in texas are longer than the red ? ||| select count ( river.river_name ) from river where river.traverse = ' texas ' and river.length > all ( select river.length from river where river.river_name = ' red ' ) ;

what is the highest point in texas ? ||| select highlow.highest_point from highlow where highlow.state_name = ' texas ' ;

what city has the least population ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city ) ;

which states border iowa ? ||| select border_info.border from border_info where border_info.state_name = ' iowa ' ;

what is the capital of the state with the highest point ? ||| select state.capital from state , highlow where state.state_name = highlow.state_name and highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

what is the capital city of the largest state in the us ? ||| select state.capital from state where state.area = ( select max ( state.area ) from state ) ;

what states border alaska ? ||| select border_info.border from border_info where border_info.state_name = ' alaska ' ;

population of boulder ? ||| select city.population from city where city.city_name = ' boulder ' ;

how big is new mexico ? ||| select state.area from state where state.state_name = ' new mexico ' ;

what is the largest city in wisconsin ? ||| select city.city_name from city where city.state_name = ' wisconsin ' and city.population = ( select max ( city.population ) from city where city.state_name = ' wisconsin ' ) ;

give me the lakes in california ? ||| select lake.lake_name from lake where lake.state_name = ' california ' ;

how many cities are there in the us ? ||| select count ( city.city_name ) from city ;
