what are the major rivers in the us ? ||| select river.river_name from river ;
what is the largest city in missouri ? ||| select city.city_name from city where city.state_name = ' missouri ' and city.population = ( select max ( city.population ) from city where city.state_name = ' missouri ' ) ;
what is the largest city in california ? ||| select city.city_name from city where city.state_name = ' california ' and city.population = ( select max ( city.population ) from city where city.state_name = ' california ' ) ;
what is the biggest city in texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;
what is the largest city of kansas ? ||| select city.city_name from city where city.state_name = ' kansas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' kansas ' ) ;
what is the largest city in michigan ? ||| select city.city_name from city where city.state_name = ' michigan ' and city.population = ( select max ( city.population ) from city where city.state_name = ' michigan ' ) ;
what is the largest city in texas ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;
what is the largest city in alabama ? ||| select city.city_name from city where city.state_name = ' alabama ' and city.population = ( select max ( city.population ) from city where city.state_name = ' alabama ' ) ;
what texas city has the largest population ? ||| select city.city_name from city where city.state_name = ' texas ' and city.population = ( select max ( city.population ) from city where city.state_name = ' texas ' ) ;
what is the largest city in minnesota by population ? ||| select city.city_name from city where city.state_name = ' minnesota ' and city.population = ( select max ( city.population ) from city where city.state_name = ' minnesota ' ) ;

give me the cities in usa ? ||| select city.city_name from city ;

what is the area of the state with the capital albany ? ||| select state.area from state where state.capital = ' albany ' ;

how many rivers are in the state with the largest population ? ||| select count ( river.river_name ) from river , state where river.traverse = state.state_name and state.state_name = ( select state.state_name from state where state.population = ( select max ( state.population ) from state ) ) ;

which state is traversed by the most rivers ? ||| select river.traverse from river , state where river.traverse = state.state_name group by state_name order by count ( river.river_name ) desc limit 1 ;

what are the cities of the state with the lowest point ? ||| select city.city_name from city , highlow where city.state_name = highlow.state_name and highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

what is the area of the largest state ? ||| select state.area from state where state.area = ( select max ( state.area ) from state ) ;
what is the area of the largest state in the us ? ||| select state.area from state where state.area = ( select max ( state.area ) from state ) ;

what is the largest city in a state that borders texas ? ||| select city.city_name from city where city.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) and city.population = ( select max ( city.population ) from city where city.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) ) ;

what is the longest river in the state with the highest point ? ||| select river.river_name from river , highlow where river.traverse = highlow.state_name and highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) order by river.length desc limit 1 ;

what are the major rivers in ohio ? ||| select river.river_name from river where river.traverse = ' ohio ' and river.length > 750 ;
what major rivers run through illinois ? ||| select river.river_name from river where river.traverse = ' illinois ' and river.length > 750 ;
what are the major rivers in texas ? ||| select river.river_name from river where river.traverse = ' texas ' and river.length > 750 ;
name the major rivers in florida . ||| select river.river_name from river where river.traverse = ' florida ' and river.length > 750 ;
what are major rivers in texas ? ||| select river.river_name from river where river.traverse = ' texas ' and river.length > 750 ;

what is the longest river in the states that border nebraska ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' nebraska ' ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' nebraska ' ) ) ;
what is the longest river that flows through a state that borders indiana ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' indiana ' ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' indiana ' ) ) ;

what is the population of the largest city in the state with the largest area ? ||| select city.population from city where city.population = ( select max ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

how many states border the state that borders the most states ? ||| select max ( tmp.states ) from ( select count ( distinct border_info.border ) as states , state_name from border_info group by state_name ) as tmp ;

what is the smallest city in the smallest state ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ;

what state has the longest river ? ||| select distinct river.traverse from river where river.length = ( select max ( distinct river.length ) from river ) ;

how large is the largest city in alaska ? ||| select city.population from city where city.state_name = ' alaska ' and city.population = ( select max ( city.population ) from city where city.state_name = ' alaska ' ) ;
how many people live in the biggest city in new york state ? ||| select city.population from city where city.state_name = ' new york ' and city.population = ( select max ( city.population ) from city where city.state_name = ' new york ' ) ;

what is the most populous state through which the mississippi runs ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) and state.population = ( select max ( state.population ) from state where state.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' ) ) ;

what are the major cities in the states through which the major river in virginia runs ? ||| select city.city_name from city where city.population > 150000 and city.state_name in ( select river.traverse from river where river.traverse = ' virginia ' and river.length > 750 ) ;

what is the highest point in the states bordering colorado ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select border_info.border from state , border_info where state.state_name = ' colorado ' ) order by highlow.highest_elevation desc limit 1 ;

what is the biggest city in the smallest state ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ;
what is the largest city in the smallest state in the usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ;

how many states border colorado and border new mexico ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' colorado ' and border_info.border in ( select border_info.border from border_info where border_info.state_name = ' new mexico ' ) ;

what is the total population of the states that border texas ? ||| select sum ( state.population ) from state , border_info where state.state_name = border_info.border and border_info.state_name = ' texas ' ;

what is the largest state that the rio grande runs through ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.river_name = ' rio grande ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select river.traverse from river where river.river_name = ' rio grande ' ) ) ;

what is the shortest river ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;
which is the shortest river ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;
what is the shortest river in the united states ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;
what is the shortest river in the us ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;
what is the shortest river in the usa ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;

how many states do not have rivers ? ||| select count ( distinct state.state_name ) from state where state.state_name not in ( select river.traverse from river ) ;

which state has the largest city ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;
what state has the city with the most population ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;
what state has the city with the largest population ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;
what state has the largest city ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;

what is the population of the capital of the largest state through which the mississippi runs ? ||| select city.population from city where city.city_name = ( select state.capital from state where state.area = ( select max ( state.area ) from state , river where river.traverse = state.state_name and river.river_name = ' mississippi ' ) ) ;

what is the capital of the state with the largest population density ? ||| select distinct state.capital from state where state.density = ( select max ( state.density ) from state ) ;

what is the length of the river that flows through the most states ? ||| select river.length from river group by ( river.river_name ) order by count ( distinct river.traverse ) desc limit 1 ;
what is the length of the river that runs through the most number of states ? ||| select river.length from river group by ( river.river_name ) order by count ( distinct river.traverse ) desc limit 1 ;
what is the length of the river that runs through the most states ? ||| select river.length from river group by ( river.river_name ) order by count ( distinct river.traverse ) desc limit 1 ;
what is the length of the river that traverses the most states ? ||| select river.length from river group by ( river.river_name ) order by count ( distinct river.traverse ) desc limit 1 ;

how many people live in california ? ||| select state.population from state where state.state_name = ' california ' ;
how many citizens live in california ? ||| select state.population from state where state.state_name = ' california ' ;
how many people live in new york ? ||| select state.population from state where state.state_name = ' new york ' ;
how many people live in new hampshire ? ||| select state.population from state where state.state_name = ' new hampshire ' ;
what is the population of arizona ? ||| select state.population from state where state.state_name = ' arizona ' ;
what is the population of idaho ? ||| select state.population from state where state.state_name = ' idaho ' ;
what is the population of illinois ? ||| select state.population from state where state.state_name = ' illinois ' ;
how many citizens in alabama ? ||| select state.population from state where state.state_name = ' alabama ' ;
what is the population of montana ? ||| select state.population from state where state.state_name = ' montana ' ;
what is the population of minnesota ? ||| select state.population from state where state.state_name = ' minnesota ' ;
what is the population of mississippi ? ||| select state.population from state where state.state_name = ' mississippi ' ;
how many people live in texas ? ||| select state.population from state where state.state_name = ' texas ' ;
how many people live in hawaii ? ||| select state.population from state where state.state_name = ' hawaii ' ;
how many people live in kansas ? ||| select state.population from state where state.state_name = ' kansas ' ;
how many people live in montana ? ||| select state.population from state where state.state_name = ' montana ' ;
how many people live in rhode island ? ||| select state.population from state where state.state_name = ' rhode island ' ;
what is the population of texas ? ||| select state.population from state where state.state_name = ' texas ' ;
how many people live in mississippi ? ||| select state.population from state where state.state_name = ' mississippi ' ;
what is the population of hawaii ? ||| select state.population from state where state.state_name = ' hawaii ' ;
what is the population of new york ? ||| select state.population from state where state.state_name = ' new york ' ;
what is the population of utah ? ||| select state.population from state where state.state_name = ' utah ' ;
what is the population of rhode island ? ||| select state.population from state where state.state_name = ' rhode island ' ;
what is the population of oregon ? ||| select state.population from state where state.state_name = ' oregon ' ;
how many people live in washington ? ||| select state.population from state where state.state_name = ' washington ' ;
what is the population of missouri ? ||| select state.population from state where state.state_name = ' missouri ' ;
what is the population of maine ? ||| select state.population from state where state.state_name = ' maine ' ;
what is the population of washington ? ||| select state.population from state where state.state_name = ' washington ' ;
what is the population of pennsylvania ? ||| select state.population from state where state.state_name = ' pennsylvania ' ;
how many people stay in utah ? ||| select state.population from state where state.state_name = ' utah ' ;
what is the population of new mexico ? ||| select state.population from state where state.state_name = ' new mexico ' ;
what is the population of alaska ? ||| select state.population from state where state.state_name = ' alaska ' ;
how many people live in missouri ? ||| select state.population from state where state.state_name = ' missouri ' ;
how many people reside in utah ? ||| select state.population from state where state.state_name = ' utah ' ;
what is the population of maryland ? ||| select state.population from state where state.state_name = ' maryland ' ;
what is the population of california ? ||| select state.population from state where state.state_name = ' california ' ;
how many people are in the state of nevada ? ||| select state.population from state where state.state_name = ' nevada ' ;
how many residents live in texas ? ||| select state.population from state where state.state_name = ' texas ' ;
how many people are there in new york ? ||| select state.population from state where state.state_name = ' new york ' ;
how many people are there in iowa ? ||| select state.population from state where state.state_name = ' iowa ' ;
how much population does texas have ? ||| select state.population from state where state.state_name = ' texas ' ;
what can you tell me about the population of missouri ? ||| select state.population from state where state.state_name = ' missouri ' ;

what rivers run through the states that border the state with the capital atlanta ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name in ( select state.state_name from state where state.capital = ' atlanta ' ) ) ;

what are the rivers in alaska ? ||| select river.river_name from river where river.traverse = ' alaska ' ;
what are the rivers of montana ? ||| select river.river_name from river where river.traverse = ' montana ' ;
what river flows through texas ? ||| select river.river_name from river where river.traverse = ' texas ' ;
what are the rivers in the state of texas ? ||| select river.river_name from river where river.traverse = ' texas ' ;
what are the rivers in the state of indiana ? ||| select river.river_name from river where river.traverse = ' indiana ' ;
what rivers flow through missouri ? ||| select river.river_name from river where river.traverse = ' missouri ' ;
what rivers run through colorado ? ||| select river.river_name from river where river.traverse = ' colorado ' ;
what river flows through colorado ? ||| select river.river_name from river where river.traverse = ' colorado ' ;
what river runs through virginia ? ||| select river.river_name from river where river.traverse = ' virginia ' ;
what river runs through illinois ? ||| select river.river_name from river where river.traverse = ' illinois ' ;
what rivers run through maine ? ||| select river.river_name from river where river.traverse = ' maine ' ;
what river flows through kansas ? ||| select river.river_name from river where river.traverse = ' kansas ' ;
rivers in new york ? ||| select river.river_name from river where river.traverse = ' new york ' ;
what rivers are there in texas ? ||| select river.river_name from river where river.traverse = ' texas ' ;
what rivers are in utah ? ||| select river.river_name from river where river.traverse = ' utah ' ;
what rivers are in oregon ? ||| select river.river_name from river where river.traverse = ' oregon ' ;
what rivers are in nevada ? ||| select river.river_name from river where river.traverse = ' nevada ' ;
what rivers are in new mexico ? ||| select river.river_name from river where river.traverse = ' new mexico ' ;
which rivers flow through alaska ? ||| select river.river_name from river where river.traverse = ' alaska ' ;
what are all the rivers in texas ? ||| select river.river_name from river where river.traverse = ' texas ' ;
name the rivers in arkansas . ||| select river.river_name from river where river.traverse = ' arkansas ' ;
name all the rivers in colorado . ||| select river.river_name from river where river.traverse = ' colorado ' ;
what rivers run through new york ? ||| select river.river_name from river where river.traverse = ' new york ' ;
what rivers run through west virginia ? ||| select river.river_name from river where river.traverse = ' west virginia ' ;
what rivers run through arizona ? ||| select river.river_name from river where river.traverse = ' arizona ' ;
which rivers are in alaska ? ||| select river.river_name from river where river.traverse = ' alaska ' ;
what rivers are in texas ? ||| select river.river_name from river where river.traverse = ' texas ' ;
what is the river that cross over ohio ? ||| select river.river_name from river where river.traverse = ' ohio ' ;

count the states which have elevations lower than what alabama has ? ||| select count ( highlow.state_name ) from highlow where highlow.lowest_elevation < ( select highlow.lowest_elevation from highlow where highlow.state_name = ' alabama ' ) ;

how many major cities are there ? ||| select count ( city.city_name ) from city where city.population > 150000 ;
how many major cities are there in us ? ||| select count ( city.city_name ) from city where city.population > 150000 ;

what is the biggest city in the usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what is the largest city ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what city has the most people ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what city has the largest population ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what is the biggest city in the us ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what is the biggest city in usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what is the most populous city ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what city in the united states has the highest population density ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;

sacramento is the capital of which state ? ||| select state.state_name from state where state.capital = ' sacramento ' ;
what states capital is dover ? ||| select state.state_name from state where state.capital = ' dover ' ;
what state has the capital salem ? ||| select state.state_name from state where state.capital = ' salem ' ;
what state is austin the capital of ? ||| select state.state_name from state where state.capital = ' austin ' ;
what state is columbus the capital of ? ||| select state.state_name from state where state.capital = ' columbus ' ;

what are the highest points of all the states ? ||| select highlow.highest_point from highlow ;

what is the largest state that borders california ? ||| select state.state_name from border_info , state where state.state_name = border_info.border and border_info.state_name = ' california ' and state.area = ( select max ( state.area ) from border_info , state where state.state_name = border_info.border and border_info.state_name = ' california ' ) ;

what is the lowest elevation in pennsylvania ? ||| select highlow.lowest_elevation from highlow where highlow.state_name = ' pennsylvania ' ;

what is the capital of the state with the lowest point ? ||| select state.capital from state , highlow where state.state_name = highlow.state_name and highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

what is the area of the state with the largest population density ? ||| select state.area from state where state.density = ( select max ( state.density ) from state ) ;

what is the smallest state through which the longest river runs ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.length = ( select max ( river.length ) from river ) ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select river.traverse from river where river.length = ( select max ( river.length ) from river ) ) ) ;

what is the population of boston massachusetts ? ||| select city.population from city where city.city_name = ' boston ' and city.state_name = ' massachusetts ' ;
what is the population of springfield missouri ? ||| select city.population from city where city.city_name = ' springfield ' and city.state_name = ' missouri ' ;
how many people live in austin texas ? ||| select city.population from city where city.city_name = ' austin ' and city.state_name = ' texas ' ;
what is the population of erie pennsylvania ? ||| select city.population from city where city.city_name = ' erie ' and city.state_name = ' pennsylvania ' ;
what is the population of tempe arizona ? ||| select city.population from city where city.city_name = ' tempe ' and city.state_name = ' arizona ' ;
what is the population of seattle washington ? ||| select city.population from city where city.city_name = ' seattle ' and city.state_name = ' washington ' ;
what is the population of portland maine ? ||| select city.population from city where city.city_name = ' portland ' and city.state_name = ' maine ' ;
how many people live in spokane washington ? ||| select city.population from city where city.city_name = ' spokane ' and city.state_name = ' washington ' ;
what is the population of austin texas ? ||| select city.population from city where city.city_name = ' austin ' and city.state_name = ' texas ' ;

how many states does the colorado river run through ? ||| select count ( river.traverse ) from river where river.river_name = ' colorado ' ;
how many states does the missouri river run through ? ||| select count ( river.traverse ) from river where river.river_name = ' missouri ' ;
how many states does the mississippi river run through ? ||| select count ( river.traverse ) from river where river.river_name = ' mississippi ' ;
how many states does the mississippi run through ? ||| select count ( river.traverse ) from river where river.river_name = ' mississippi ' ;
how many states does the colorado river flow through ? ||| select count ( river.traverse ) from river where river.river_name = ' colorado ' ;

what is the longest river in mississippi ? ||| select river.river_name from river where river.traverse = ' mississippi ' and river.length = ( select max ( river.length ) from river where river.traverse = ' mississippi ' ) ;
what is the longest river that flows through colorado ? ||| select river.river_name from river where river.traverse = ' colorado ' and river.length = ( select max ( river.length ) from river where river.traverse = ' colorado ' ) ;
what is the longest river flowing through new york ? ||| select river.river_name from river where river.traverse = ' new york ' and river.length = ( select max ( river.length ) from river where river.traverse = ' new york ' ) ;
what is the longest river in florida ? ||| select river.river_name from river where river.traverse = ' florida ' and river.length = ( select max ( river.length ) from river where river.traverse = ' florida ' ) ;
what is the largest river in washington state ? ||| select river.river_name from river where river.traverse = ' washington ' and river.length = ( select max ( river.length ) from river where river.traverse = ' washington ' ) ;
what is the biggest river in illinois ? ||| select river.river_name from river where river.traverse = ' illinois ' and river.length = ( select max ( river.length ) from river where river.traverse = ' illinois ' ) ;
what is the longest river in texas ? ||| select river.river_name from river where river.traverse = ' texas ' and river.length = ( select max ( river.length ) from river where river.traverse = ' texas ' ) ;
what are the biggest rivers in texas ? ||| select river.river_name from river where river.traverse = ' texas ' and river.length = ( select max ( river.length ) from river where river.traverse = ' texas ' ) ;
what is the longest river in new york ? ||| select river.river_name from river where river.traverse = ' new york ' and river.length = ( select max ( river.length ) from river where river.traverse = ' new york ' ) ;
what is the longest river in pennsylvania ? ||| select river.river_name from river where river.traverse = ' pennsylvania ' and river.length = ( select max ( river.length ) from river where river.traverse = ' pennsylvania ' ) ;
what is the longest river in california ? ||| select river.river_name from river where river.traverse = ' california ' and river.length = ( select max ( river.length ) from river where river.traverse = ' california ' ) ;

what are the cities of the state with the highest point ? ||| select city.city_name from city where city.state_name in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) ;

what are the major cities in states through which the mississippi runs ? ||| select city.city_name from city where city.population > 150000 and city.state_name in ( select river.traverse from river where river.river_name = ' mississippi ' and river.length > 750 ) ;

what is the longest river in the smallest state in the usa ? ||| select river.river_name from river where river.traverse in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) ;

what is the population density of the state with the smallest population ? ||| select state.density from state where state.population = ( select min ( state.population ) from state ) ;

how many states have a higher point than the highest point of the state with the largest capital city in the us ? ||| select count ( highlow.state_name ) from highlow where highlow.highest_elevation > ( select highlow.highest_elevation from highlow where highlow.state_name = ( select state.state_name from state where state.capital = ( select city.city_name from city where city.population = ( select max ( city.population ) from city ) ) ) ) ;

which state is kalamazoo in ? ||| select city.state_name from city where city.city_name = ' kalamazoo ' ;
what states have cities named dallas ? ||| select city.state_name from city where city.city_name = ' dallas ' ;
what states have towns named springfield ? ||| select city.state_name from city where city.city_name = ' springfield ' ;
what states have cities named salt lake city ? ||| select city.state_name from city where city.city_name = ' salt lake city ' ;
what states have a city named austin ? ||| select city.state_name from city where city.city_name = ' austin ' ;
what states have cities named rochester ? ||| select city.state_name from city where city.city_name = ' rochester ' ;
what states have cities named portland ? ||| select city.state_name from city where city.city_name = ' portland ' ;
what state is des moines located in ? ||| select city.state_name from city where city.city_name = ' des moines ' ;
what state is dallas in ? ||| select city.state_name from city where city.city_name = ' dallas ' ;
what states have cities named plano ? ||| select city.state_name from city where city.city_name = ' plano ' ;
what states have cities named austin ? ||| select city.state_name from city where city.city_name = ' austin ' ;
which states have cities named austin ? ||| select city.state_name from city where city.city_name = ' austin ' ;
which state is the city denver located in ? ||| select city.state_name from city where city.city_name = ' denver ' ;
what state has the city flint ? ||| select city.state_name from city where city.city_name = ' flint ' ;
in which state is rochester ? ||| select city.state_name from city where city.city_name = ' rochester ' ;
where is portland ? ||| select city.state_name from city where city.city_name = ' portland ' ;
where is indianapolis ? ||| select city.state_name from city where city.city_name = ' indianapolis ' ;
where is san antonio ? ||| select city.state_name from city where city.city_name = ' san antonio ' ;
where is san diego ? ||| select city.state_name from city where city.city_name = ' san diego ' ;
where is new orleans ? ||| select city.state_name from city where city.city_name = ' new orleans ' ;
where is austin ? ||| select city.state_name from city where city.city_name = ' austin ' ;
where is houston ? ||| select city.state_name from city where city.city_name = ' houston ' ;
where is dallas ? ||| select city.state_name from city where city.city_name = ' dallas ' ;
where is san jose ? ||| select city.state_name from city where city.city_name = ' san jose ' ;
where is baton rouge ? ||| select city.state_name from city where city.city_name = ' baton rouge ' ;
where is fort wayne ? ||| select city.state_name from city where city.city_name = ' fort wayne ' ;
where is scotts valley ? ||| select city.state_name from city where city.city_name = ' scotts valley ' ;
where is springfield ? ||| select city.state_name from city where city.city_name = ' springfield ' ;
what state is boston in ? ||| select city.state_name from city where city.city_name = ' boston ' ;
what state is austin in ? ||| select city.state_name from city where city.city_name = ' austin ' ;
what state is miami in ? ||| select city.state_name from city where city.city_name = ' miami ' ;
what state is pittsburgh in ? ||| select city.state_name from city where city.city_name = ' pittsburgh ' ;
san antonio is in what state ? ||| select city.state_name from city where city.city_name = ' san antonio ' ;

what is the capital of the state with the largest population ? ||| select distinct state.capital from state where state.population = ( select max ( state.population ) from state ) ;

what state bordering nevada has the largest population ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' nevada ' ) and state.population = ( select max ( state.population ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' nevada ' ) ) ;

what is the population of the smallest state ? ||| select state.population from state where state.area = ( select min ( state.area ) from state ) ;

what states in the united states have a city of springfield ? ||| select city.state_name from city , state where city.state_name = state.state_name and city.city_name = ' springfield ' ;

what is the highest point in the state with capital des moines ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select state.state_name from state where state.capital = ' des moines ' ) ;
what is the highest point in the state with capital austin ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select state.state_name from state where state.capital = ' austin ' ) ;
what is the highest point in the state with the capital des moines ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select state.state_name from state where state.capital = ' des moines ' ) ;

how many rivers in texas are longer than the red ? ||| select count ( river.river_name ) from river where river.traverse = ' texas ' and river.length > all ( select river.length from river where river.river_name = ' red ' ) ;

what is the highest elevation in texas ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' texas ' ;
what is the highest elevation in new mexico ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' new mexico ' ;
how tall is the highest point in montana ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' montana ' ;
how high is the highest point of florida ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' florida ' ;
how high is the highest point of delaware ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' delaware ' ;
how high is the highest point of alabama ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' alabama ' ;
how high is the highest point of louisiana ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' louisiana ' ;
what is the highest point in delaware ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' delaware ' ;
what is the highest point in nevada in meters ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' nevada ' ;

what states border states that border states that border florida ? ||| select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name = ' florida ' ) ) ;

how tall is mount mckinley ? ||| select highlow.highest_elevation from highlow where highlow.highest_point = ' mckinley ' ;

what is the combined population of all 50 states ? ||| select sum ( state.population ) from state ;
how many people live in the united states ? ||| select sum ( state.population ) from state ;

what are the capitals of the states that border texas ? ||| select state.capital from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) ;

what rivers flow through the largest state ? ||| select river.river_name from river where river.traverse in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

what is the lowest point in the usa ? ||| select highlow.lowest_point from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;
what is the lowest point in the united states ? ||| select highlow.lowest_point from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;
what is the lowest point in usa ? ||| select highlow.lowest_point from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

