what are the major rivers in the us ? ||| select river.river_name from river ;
what is the largest city in a state that borders state0 ? ||| select city.city_name from city where city.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and city.population = ( select max ( city.population ) from city where city.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

what is the longest river in the state with the highest point ? ||| select river.river_name from river where river.traverse in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) ) ;

what are the major rivers in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length > number0 ;
what major rivers run through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length > number0 ;
what are the major rivers in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length > number0 ;
name the major rivers in state0 . ||| select river.river_name from river where river.traverse = ' state0 ' and river.length > number0 ;
what are major rivers in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length > number0 ;

what is the longest river in the states that border state0 ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;
what is the longest river that flows through a state that borders state0 ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

what is the population of the largest city in the state with the largest area ? ||| select city.population from city where city.population = ( select max ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

how many states border the state that borders the most states ? ||| select max ( tmp.states ) from ( select count ( distinct border_info.border ) as states , state_name from border_info group by state_name ) as tmp ;

what is the smallest city in the smallest state ? ||| select city.city_name from city where city.population = ( select min ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ;

what state has the longest river ? ||| select distinct river.traverse from river where river.length = ( select max ( distinct river.length ) from river ) ;

how large is the largest city in state0 ? ||| select city.population from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;
how many people live in the biggest city in state0 state ? ||| select city.population from city where city.state_name = ' state0 ' and city.population = ( select max ( city.population ) from city where city.state_name = ' state0 ' ) ;

what is the most populous state through which the river0 runs ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) and state.population = ( select max ( state.population ) from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ) ;

what are the major cities in the states through which the major river in state0 runs ? ||| select city.city_name from city where city.population > number0 and city.state_name in ( select river.traverse from river where river.traverse = ' state0 ' and river.length > number1 ) ;

what is the highest point in the states bordering state0 ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select border_info.border from state , border_info where state.state_name = ' state0 ' ) order by highlow.highest_elevation desc limit 1 ;

what is the biggest city in the smallest state ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ;
what is the largest city in the smallest state in the usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city where city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) and city.state_name in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ;

how many states border state0 and border state1 ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' state0 ' and border_info.border in ( select border_info.border from border_info where border_info.state_name = ' state1 ' ) ;

what is the total population of the states that border state0 ? ||| select sum ( state.population ) from state , border_info where state.state_name = border_info.border and border_info.state_name = ' state0 ' ;

what is the largest state that the river0 runs through ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) and state.area = ( select max ( state.area ) from state where state.state_name in ( select river.traverse from river where river.river_name = ' river0 ' ) ) ;

what is the shortest river ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;
which is the shortest river ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;
what is the shortest river in the united states ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;
what is the shortest river in the us ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;
what is the shortest river in the usa ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;

how many states do not have rivers ? ||| select count ( distinct state.state_name ) from state where state.state_name not in ( select river.traverse from river ) ;

which state has the largest city ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;
what state has the city with the most population ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;
what state has the city with the largest population ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;
what state has the largest city ? ||| select city.state_name from city where city.population = ( select max ( city.population ) from city ) ;

what is the population of the capital of the largest state through which the river0 runs ? ||| select city.population from city where city.city_name = ( select state.capital from state where state.area = ( select max ( state.area ) from state , river where river.traverse = state.state_name and river.river_name = ' river0 ' ) ) ;

what is the capital of the state with the largest population density ? ||| select distinct state.capital from state where state.density = ( select max ( state.density ) from state ) ;

what is the length of the river that flows through the most states ? ||| select river.length from river group by ( river.river_name ) order by count ( distinct river.traverse ) desc limit 1 ;
what is the length of the river that runs through the most number of states ? ||| select river.length from river group by ( river.river_name ) order by count ( distinct river.traverse ) desc limit 1 ;
what is the length of the river that runs through the most states ? ||| select river.length from river group by ( river.river_name ) order by count ( distinct river.traverse ) desc limit 1 ;
what is the length of the river that traverses the most states ? ||| select river.length from river group by ( river.river_name ) order by count ( distinct river.traverse ) desc limit 1 ;

how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many citizens live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many citizens in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people stay in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people reside in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people are in the state of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many residents live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people are there in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how many people are there in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;
how much population does state0 have ? ||| select state.population from state where state.state_name = ' state0 ' ;
what can you tell me about the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what rivers run through the states that border the state with the capital city0 ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name in ( select state.state_name from state where state.capital = ' city0 ' ) ) ;

what are the rivers in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what are the rivers of state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what river flows through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what are the rivers in the state of state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what are the rivers in the state of state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what rivers flow through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what rivers run through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what river flows through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what river runs through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what river runs through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what rivers run through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what river flows through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
rivers in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what rivers are there in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what rivers are in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what rivers are in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what rivers are in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what rivers are in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
which rivers flow through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what are all the rivers in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
name the rivers in state0 . ||| select river.river_name from river where river.traverse = ' state0 ' ;
name all the rivers in state0 . ||| select river.river_name from river where river.traverse = ' state0 ' ;
what rivers run through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what rivers run through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what rivers run through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
which rivers are in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what rivers are in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;
what is the river that cross over state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

count the states which have elevations lower than what state0 has ? ||| select count ( highlow.state_name ) from highlow where highlow.lowest_elevation < ( select highlow.lowest_elevation from highlow where highlow.state_name = ' state0 ' ) ;

how many major cities are there ? ||| select count ( city.city_name ) from city where city.population > number0 ;
how many major cities are there in us ? ||| select count ( city.city_name ) from city where city.population > number0 ;

what is the biggest city in the usa? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what is the largest city ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what city has the most people ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what city has the largest population ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what is the biggest city in the us? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what is the biggest city in usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what is the most populous city ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;
what city in the united states has the highest population density ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;

city0 is the capital of which state ? ||| select state.state_name from state where state.capital = ' city0 ' ;
what states capital is city0 ? ||| select state.state_name from state where state.capital = ' city0 ' ;
what state has the capital city0 ? ||| select state.state_name from state where state.capital = ' city0 ' ;
what state is city0 the capital of ? ||| select state.state_name from state where state.capital = ' city0 ' ;
what state is city0 the capital of ? ||| select state.state_name from state where state.capital = ' city0 ' ;

what are the highest points of all the states ? ||| select highlow.highest_point from highlow ;

what is the largest state that borders state0 ? ||| select state.state_name from border_info , state where state.state_name = border_info.border and border_info.state_name = ' state0 ' and state.area = ( select max ( state.area ) from border_info , state where state.state_name = border_info.border and border_info.state_name = ' state0 ' ) ;

what is the lowest elevation in state0 ? ||| select highlow.lowest_elevation from highlow where highlow.state_name = ' state0 ' ;

what is the capital of the state with the lowest point ? ||| select state.capital from state , highlow where state.state_name = highlow.state_name and highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;

what is the area of the state with the largest population density ? ||| select state.area from state where state.density = ( select max ( state.density ) from state ) ;

what is the smallest state through which the longest river runs ? ||| select state.state_name from state where state.state_name in ( select river.traverse from river where river.length = ( select max ( river.length ) from river ) ) and state.area = ( select min ( state.area ) from state where state.state_name in ( select river.traverse from river where river.length = ( select max ( river.length ) from river ) ) ) ;

what is the population of city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;
what is the population of city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;
how many people live in city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;
what is the population of city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;
what is the population of city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;
what is the population of city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;
what is the population of city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;
how many people live in city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;
what is the population of city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;

how many states does the river0 run through ? ||| select count ( river.traverse ) from river where river.river_name = ' river0 ' ;
how many states does the river0 run through ? ||| select count ( river.traverse ) from river where river.river_name = ' river0 ' ;
how many states does the river0 run through ? ||| select count ( river.traverse ) from river where river.river_name = ' river0 ' ;
how many states does the river0 run through ? ||| select count ( river.traverse ) from river where river.river_name = ' river0 ' ;
how many states does the river0 flow through ? ||| select count ( river.traverse ) from river where river.river_name = ' river0 ' ;

what is the longest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;
what is the longest river that flows through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;
what is the longest river flowing through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;
what is the longest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;
what is the largest river in state0 state ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;
what is the biggest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;
what is the longest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;
what are the biggest rivers in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;
what is the longest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;
what is the longest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;
what is the longest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;

what are the cities of the state with the highest point ? ||| select city.city_name from city where city.state_name in ( select highlow.state_name from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ) ;

what are the major cities in states through which the river0 runs ? ||| select city.city_name from city where city.population > 150000 and city.state_name in ( select river.traverse from river where river.river_name = ' river0 ' and river.length > number0 ) ;

what is the longest river in the smallest state in the usa ? ||| select river.river_name from river where river.traverse in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) and river.length = ( select max ( river.length ) from river where river.traverse in ( select state.state_name from state where state.area = ( select min ( state.area ) from state ) ) ) ;

what is the population density of the state with the smallest population ? ||| select state.density from state where state.population = ( select min ( state.population ) from state ) ;

how many states have a higher point than the highest point of the state with the largest capital city in the us ? ||| select count ( highlow.state_name ) from highlow where highlow.highest_elevation > ( select highlow.highest_elevation from highlow where highlow.state_name = ( select state.state_name from state where state.capital = ( select city.city_name from city where city.population = ( select max ( city.population ) from city ) ) ) ) ;

which state is city0 in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what states have cities named city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what states have towns named city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what states have cities named city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what states have a city named city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what states have cities named city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what states have cities named city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what state is city0 located in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what state is city0 in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what states have cities named city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what states have cities named city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
which states have cities named city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
which state is the city city0 located in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what state has the city city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
in which state is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what state is city0 in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what state is city0 in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what state is city0 in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what state is city0 in ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
city0 is in what state ? ||| select city.state_name from city where city.city_name = ' city0 ' ;

what is the capital of the state with the largest population ? ||| select distinct state.capital from state where state.population = ( select max ( state.population ) from state ) ;

what state bordering state0 has the largest population ? ||| select state.state_name from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) and state.population = ( select max ( state.population ) from state where state.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

what is the population of the smallest state ? ||| select state.population from state where state.area = ( select min ( state.area ) from state ) ;

what states in the united states have a city of city0 ? ||| select city.state_name from city , state where city.state_name = state.state_name and city.city_name = ' city0 ' ;

what is the highest point in the state with capital city0 ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select state.state_name from state where state.capital = ' city0 ' ) ;
what is the highest point in the state with capital city0 ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select state.state_name from state where state.capital = ' city0 ' ) ;
what is the highest point in the state with the capital city0 ? ||| select highlow.highest_point from highlow where highlow.state_name in ( select state.state_name from state where state.capital = ' city0 ' ) ;

how many rivers in state0 are longer than the river0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' and river.length > all ( select river.length from river where river.river_name = ' river0 ' ) ;

what is the highest elevation in state0 ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ;
what is the highest elevation in state0 ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ;
how tall is the highest point in state0 ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ;
how high is the highest point of state0 ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ;
how high is the highest point of state0 ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ;
how high is the highest point of state0 ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ;
how high is the highest point of state0 ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ;
what is the highest point in state0 in meters ? ||| select highlow.highest_elevation from highlow where highlow.state_name = ' state0 ' ;

what states border states that border states that border state0 ? ||| select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ) ;

how tall is mountain0 ? ||| select highlow.highest_elevation from highlow where highlow.highest_point = ' mountain0 ' ;

what is the combined population of all number0 states ? ||| select sum ( state.population ) from state ;
how many people live in the united states ? ||| select sum ( state.population ) from state ;

what are the capitals of the states that border state0 ? ||| select state.capital from border_info , state where ( state.state_name = border_info.state_name ) and ( border_info.border = ' state0 ' ) ;

what rivers flow through the largest state ? ||| select river.river_name from river where river.traverse in ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

what is the lowest point in the usa ? ||| select highlow.lowest_point from highlow where highlow.lowest_elevation = ( select min ( highlow.lowest_elevation ) from highlow ) ;
