Query ID,Phrase,Operator,Fragment Type,Functions,Group By,Answer
126,papers,,rel,,,publication
126,PVLDB,,pred,,,journal.name = 'PVLDB'
126,year,,attr,,1,publication.year
127,papers,,attr,count,,publication.title
127,PVLDB,,pred,,,journal.name = 'PVLDB'
127,year,,attr,,1,publication.year
128,citations,,attr,sum,,publication.citation_num
128,papers,,rel,,,publication
128,VLDB conference,,pred,,,conference.name = 'VLDB'
129,citations,,attr,,,publication.citation_num
129,paper,,attr,,1,publication.title
129,VLDB conference,,pred,,,conference.name = 'VLDB'
130,citations,,attr,sum,,publication.citation_num
130,papers,,rel,,,publication
130,VLDB conference,,pred,,,conference.name = 'VLDB'
130,2005,,pred,,,publication.year = 2005
131,citations,,attr,sum,,publication.citation_num
131,papers,,rel,,,publication
131,VLDB conference,,pred,,,conference.name = 'VLDB'
131,2005,<,pred,,,publication.year < 2005
132,citations,,attr,count,,publication.citation_num
132,papers,,rel,,,publication
132,VLDB conference,,pred,,,conference.name = 'VLDB'
132,year,,attr,,1,publication.year
133,papers,,attr,count,,publication.title
133,VLDB conference,,pred,,,conference.name = 'VLDB'
133,year,,attr,,1,publication.year
134,authors,,attr,,,author.name
134,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
134,Divesh Srivastava,,pred,,,author.name = 'Divesh Srivastava'
135,authors,,attr,,,author.name
135,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
135,Divesh Srivastava,,pred,,,author.name = 'Divesh Srivastava'
136,authors,,attr,,,author.name
136,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
136,2000,>,pred,,,publication.year > 2000
137,papers,,attr,,,publication.title
137,written,,rel,,,writes
137,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
137,Divesh Srivastava,,pred,,,author.name = 'Divesh Srivastava'
138,papers,,attr,,,publication.title
138,written,,rel,,,writes
138,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
138,Yunyao Li,,pred,,,author.name = 'Yunyao Li'
138,2005,>,pred,,,publication.year > 2005
139,papers,,attr,,,publication.title
139,written,,rel,,,writes
139,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
139,Yunyao Li,,pred,,,author.name = 'Yunyao Li'
139,PVLDB,,pred,,,journal.name = 'PVLDB'
140,papers,,attr,,,publication.title
140,written,,rel,,,writes
140,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
140,Yunyao Li,,pred,,,author.name = 'Yunyao Li'
140,PVLDB,,pred,,,journal.name = 'PVLDB'
140,2005,>,pred,,,publication.year > 2005
141,authors,,attr,,,author.name
141,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
142,papers,,attr,,,publication.title
142,written,,rel,,,writes
142,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
142,Divesh Srivastava,,pred,,,author.name = 'Divesh Srivastava'
142,2000,<,pred,,,publication.year < 2000
143,authors,,attr,,,author.name
143,cited,,rel,,,cite
143,papers,,rel,,,publication
143,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
144,papers,,attr,count,,publication.title
144,written,,rel,,,writes
144,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
144,Divesh Srivastava,,pred,,,author.name = 'Divesh Srivastava'
145,papers,,attr,count,,publication.title
145,written,,rel,,,writes
145,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
145,Divesh Srivastava,,pred,,,author.name = 'Divesh Srivastava'
145,2000,<,pred,,,publication.year < 2000
146,papers,,attr,count,,publication.title
146,written,,rel,,,writes
146,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
146,Yunyao Li,,pred,,,author.name = 'Yunyao Li'
146,Cong Yu,,pred,,,author.name = 'Cong Yu'
147,authors,,attr,count,,author.name
147,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
148,authors,,attr,count,,author.name
148,cited,,rel,,,cite
148,papers,,rel,,,publication
148,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
149,papers,,attr,,,publication.title
149,written,,rel,,,writes
149,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
149,Divesh Srivastava,,pred,,,author.name = 'Divesh Srivastava'
149,200 citations,>,pred,,,publication.citation_num > 200
150,author,,attr,,1,author.name
150,papers,,attr,"max, count",,count(publication.title) = max(count(publication.title))
150,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
151,conference,,attr,,1,conference.name
151,papers,,attr,"max, count",,count(publication.title) = max(count(publication.title))
151,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
152,journal,,attr,,1,journal.name
152,papers,,pred,"max, count",,count(publication.title) = max(count(publication.title))
152,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
153,authors,,attr,count,1,author.name
153,10 papers,>,pred,count,,count(publication.title) > 10
153,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
154,conferences,,attr,count,1,conference.name
154,60 papers,>,pred,count,,count(publication.title) > 60
154,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
155,journals,,attr,count,1,journal.name
155,60 papers,>,pred,count,,count(publication.title) > 60
155,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
156,authors,,attr,count,1,author.name
156,10 papers,>,pred,count,,count(publication.title) > 10
156,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
157,conferences,,attr,count,1,conference.name
157,60 papers,>,pred,count,,count(publication.title) > 60
157,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
158,journals,,attr,count,1,journal.name
158,60 papers,>,pred,count,,count(publication.title) > 60
158,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
159,keywords,,attr,count,1,keyword.keyword
159,100 papers,>,pred,count,,count(publication.title) > 100
159,VLDB conference,,pred,,,conference.name = 'VLDB'
160,keywords,,attr,count,1,keyword.keyword
160,100 papers,>,pred,count,,count(publication.title) > 100
160,PVLDB,,pred,,,journal.name = 'PVLDB'
161,keywords,,attr,,1,keyword.keyword
161,10 papers,>,pred,count,,count(publication.title) > 10
161,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
162,keyword,,attr,,1,keyword.keyword
162,papers,,attr,"max, count",,count(publication.title) = max(count(publication.title))
162,VLDB conference,,pred,,,conference.name = 'VLDB'
163,keyword,,attr,,1,keyword.keyword
163,papers,,attr,"max, count",,count(publication.title) = max(count(publication.title))
163,PVLDB,,pred,,,journal.name = 'PVLDB'
164,keyword,,attr,,1,keyword.keyword
164,papers,,attr,"max, count",,count(publication.title) = max(count(publication.title))
164,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
165,journal,,attr,,1,journal.name
165,papers,,attr,"max, count",,count(publication.title) = max(count(publication.title))
165,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
166,conference,,attr,,1,conference.name
166,papers,,attr,"max, count",,count(publication.title) = max(count(publication.title))
166,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
167,author,,attr,,1,author.name
167,papers,,attr,"max, count",,count(publication.title) = max(count(publication.title))
167,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
168,author,,attr,,1,author.name
168,University of Michigan,,pred,,,organization.name = 'University of Michigan'
168,papers,,rel,,,publication
168,citations,,attr,"max, sum",,sum(publication.citation_num) = max(sum(publication.citation_num))
169,author,,attr,,,author.name
169,University of Michigan,,pred,,,organization.name = 'University of Michigan'
169,papers,,rel,,1,publication
169,Databases area,,pred,,,domain.name = 'Databases'
169,citations,,attr,"max, sum",,sum(publication.citation_num) = max(sum(publication.citation_num))
170,papers,,attr,,,publication.title
170,written,,rel,,,writes
170,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
170,Divesh Srivastava,,pred,,,author.name = 'Divesh Srivastava'
170,citations,,attr,max,,publication.citation_num = max(publication.citation_num)
171,conferences,,attr,,1,conference.name
171,10 papers,>,pred,count,,count(publication.title) > 10
171,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
172,conference,,attr,,1,conference.name
172,papers,,attr,"max, count",,count(publication.title) = max(count(publication.title))
172,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
173,journals,,attr,,1,journal.name
173,10 papers,>,pred,count,,count(publication.title) > 10
173,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
174,journal,,attr,,1,journal.name
174,papers,,attr,"max, count",,count(publication.title) = max(count(publication.title))
174,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
175,paper,,attr,,1,publication.title
175,citations,,attr,max,,publication.citation_num = max(publication.citation_num)
176,paper,,attr,,1,publication.title
176,Databases area,,pred,,,domain.name = 'Databases'
176,citations,,attr,max,,publication.citation_num = max(publication.citation_num)
177,paper,,attr,,1,publication.title
177,PVLDB,,pred,,,journal.name = 'PVLDB'
177,citations,,attr,max,,publication.citation_num = max(publication.citation_num)
178,paper,,attr,,1,publication.title
178,VLDB conference,,pred,,,conference.name = 'VLDB'
178,citations,,attr,max,,publication.citation_num = max(publication.citation_num)
179,paper,,attr,,1,publication.title
179,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
179,citations,,attr,max,,publication.citation_num = max(publication.citation_num)
180,paper,,attr,,1,publication.title
180,2000,>,pred,,,publication.year > 2000
180,citations,,attr,max,,publication.citation_num = max(publication.citation_num)
181,paper,,attr,,1,publication.title
181,2000,>,pred,,,publication.year > 2000
181,Databases area,,pred,,,domain.name = 'Databases'
181,citations,,attr,max,,publication.citation_num = max(publication.citation_num)
182,paper,,attr,,1,publication.title
182,2000,>,pred,,,publication.year > 2000
182,PVLDB,,pred,,,journal.name = 'PVLDB'
182,citations,,attr,max,,publication.citation_num = max(publication.citation_num)
183,paper,,attr,,1,publication.title
183,2000,>,pred,,,publication.year > 2000
183,VLDB conference,,pred,,,conference.name = 'VLDB'
183,citations,,attr,max,,publication.citation_num = max(publication.citation_num)
184,authors,,attr,,1,author.name
184,10 papers,>,pred,count,,count(publication.title) > 10
184,PVLDB,,pred,,,journal.name = 'PVLDB'
185,authors,,attr,,1,author.name
185,papers,,attr,"max, count",,count(publication.title) = max(count(publication.title))
185,PVLDB,,pred,,,journal.name = 'PVLDB'
186,authors,,attr,,1,author.name
186,10 papers,>,pred,count,,count(publication.title) > 10
186,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
187,conferences,,attr,,1,conference.name
187,60 papers,>,pred,count,,count(publication.title) > 60
187,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
188,journals,,attr,,1,journal.name
188,60 papers,>,pred,count,,count(publication.title) > 60
188,keyword Relational Database,,pred,,,keyword.keyword = 'Relational Database'
189,keywords,,attr,,1,keyword.keyword
189,100 papers,>,pred,count,,count(publication.title) > 100
189,VLDB conference,,pred,,,conference.name = 'VLDB'
190,keywords,,attr,,1,keyword.keyword
190,100 papers,>,pred,count,,count(publication.title) > 100
190,PVLDB,,pred,,,journal.name = 'PVLDB'
191,keywords,,attr,,1,keyword.keyword
191,10 papers,>,pred,count,,count(publication.title) > 10
191,H. V. Jagadish,,pred,,,author.name = 'H. V. Jagadish'
192,authors,,attr,,1,author.name
192,10 papers,>,pred,count,,count(publication.title) > 10
192,VLDB conference,,pred,,,conference.name = 'VLDB'
193,author,,attr,,1,author.name
193,papers,,attr,"max, count",,count(publication.title) = max(count(publication.title))
193,VLDB conference,,pred,,,conference.name = 'VLDB'
195,author,,attr,,1,author.name
195,University of Michigan,,pred,,,organization.name = 'University of Michigan'
195,papers,,rel,,,publication
195,5000 citations,>,pred,sum,,sum(publication.citation_num) > 5000
196,author,,attr,,1,author.name
196,University of Michigan,,pred,,,organization.name = 'University of Michigan'
196,Databases area,,pred,,,domain.name = 'Databases'
196,papers,,rel,,,publication
196,5000 citations,>,pred,sum,,sum(publication.citation_num) > 5000
